round_epochs,val_loss,loss,n_batch_size,n_epochs,optimizer,losses,n_neurons,prev_timesteps
106,0.003404638698682346,0.003507925298715952,105,106,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,71,6
154,0.0008490737441431291,6.727615413355906e-05,83,154,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,5,24
106,0.03164383021876238,0.003294384061617122,16,106,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,14,1
202,0.00013586775228296454,2.8626539356763008e-05,60,202,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,5,24
10,0.011100732301439261,0.0005000155894145918,105,10,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,62,1
106,0.0035529456780825264,0.00010438947840530908,16,106,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,81,24
202,0.013833459046032308,0.004322694476900989,38,202,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,62,1
154,0.0047078502930842595,0.0033882848815213495,60,154,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,24,6
58,0.016653528215424145,0.007790454365558643,60,58,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,90,12
10,0.01699056660207994,0.0006905369641046856,16,10,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,5,24
10,0.0711333158275034,0.014094098971350418,60,10,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,43,24
58,0.03608926376425165,0.00439923500404649,16,58,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,43,6
202,0.001105104149700826,3.261348962042302e-05,38,202,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,24,12
202,0.011672474484493352,0.0050950896359065285,105,202,<class 'keras.optimizers.RMSprop'>,<function mean_absolute_error at 0x0000019886DA2840>,14,24
154,6.360281554464098e-05,3.779267669035758e-05,60,154,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,52,6
106,0.0051417844187099,0.003984694157814138,83,106,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,62,24
10,0.11223505027844069,0.03697385592566322,38,10,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,43,1
202,3.2126431580548457e-05,1.4093418792764956e-05,105,202,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0x0000019886DA28C8>,52,12
202,0.0011353242778454921,3.2942981981434336e-05,38,202,<class 'keras.optimizers.RMSprop'>,<function mean_squared_error at 0x0000019886DA28C8>,52,24
10,0.13749618842717448,0.026103466852364584,16,10,<class 'keras.optimizers.Adam'>,<function mean_absolute_error at 0x0000019886DA2840>,71,12
