,device,gpsLat,gpsLon,rx_time,seqNumber,spfact,IPT
6791,3432333864377C18,51.215293884277344,4.4084367752075195,2018-12-20 15:49:46.385,17194.0,10.0,27.0
6798,3432333864377C18,51.21525573730469,4.4084320068359375,2018-12-20 15:56:10.278,17206.0,10.0,38.0
6799,3432333864377C18,51.21523666381836,4.408420562744141,2018-12-20 15:56:37.876,17207.0,9.0,27.0
6800,3432333864377C18,51.21523666381836,4.40841817855835,2018-12-20 15:57:16.999,17208.0,9.0,39.0
6801,3432333864377C18,51.215240478515625,4.40841817855835,2018-12-20 15:57:37.100,17209.0,9.0,20.0
6807,3432333864377C18,51.21540451049805,4.4084272384643555,2018-12-20 16:01:26.414,17216.0,9.0,69.0
6808,3432333864377C18,51.21538162231445,4.40843391418457,2018-12-20 16:01:50.457,17217.0,8.0,24.0
8326,3432333864377C18,51.19881820678711,4.409970283508301,2018-12-21 07:56:30.169,19042.0,10.0,39.0
8327,3432333864377C18,51.19881820678711,4.409970283508301,2018-12-21 07:56:57.316,19043.0,10.0,27.0
8330,3432333864377C18,51.1978645324707,4.408618450164795,2018-12-21 08:02:35.041,19048.0,11.0,149.0
8331,3432333864377C18,51.19776916503906,4.408030986785889,2018-12-21 08:03:03.780,19049.0,11.0,28.0
8332,3432333864377C18,51.19594192504883,4.40456485748291,2018-12-21 08:05:04.409,19050.0,11.0,120.0
8333,3432333864377C18,51.199161529541016,4.390997886657715,2018-12-21 08:05:31.730,19051.0,10.0,27.0
8334,3432333864377C18,51.19973373413086,4.391185283660889,2018-12-21 08:06:41.226,19052.0,7.0,69.0
8335,3432333864377C18,51.19973373413086,4.391180515289307,2018-12-21 08:06:52.620,19053.0,7.0,11.0
8336,3432333864377C18,51.19972610473633,4.391180515289307,2018-12-21 08:07:05.140,19054.0,7.0,12.0
8337,3432333864377C18,51.19972229003906,4.391171455383301,2018-12-21 08:07:26.560,19055.0,7.0,21.0
8864,3432333864377C18,51.21529006958008,4.408428192138672,2018-12-21 15:29:54.324,19899.0,10.0,37.0
8865,3432333864377C18,51.21527862548828,4.408430099487305,2018-12-21 15:30:19.073,19900.0,10.0,24.0
8867,3432333864377C18,51.215267181396484,4.408412456512451,2018-12-21 15:32:05.130,19903.0,9.0,59.0
8868,3432333864377C18,51.215267181396484,4.408414363861084,2018-12-21 15:32:25.582,19904.0,9.0,20.0
8888,3432333864377C18,51.215328216552734,4.40839958190918,2018-12-21 15:47:50.235,19933.0,10.0,37.0
8889,3432333864377C18,51.2153205871582,4.40841007232666,2018-12-21 15:48:15.556,19934.0,10.0,25.0
8890,3432333864377C18,51.2153205871582,4.408419132232666,2018-12-21 15:49:01.643,19935.0,9.0,46.0
8891,3432333864377C18,51.21531677246094,4.408421516418457,2018-12-21 15:49:21.232,19936.0,9.0,19.0
